task_id,title,owner,depends_on,status,actual_runtime_thread,lease,evidence,blocker,next_consumer
T00,Preflight and bounded calibration,O-LEAD,,NOT_STARTED,,,,,
T01,Freeze the small contract and path leases,O-LEAD,T00,NOT_STARTED,,,,,
T02,Create coherent raw fixtures and independent expectations,C-VERIFY,T01,NOT_STARTED,,,,,
T03,"Deliver runtime, identity, database and guarded case template",C-PLATFORM,T01,NOT_STARTED,,,,,
T04,Deliver immutable storage and durable processing primitives,C-PLATFORM,T03,NOT_STARTED,,,,,
T05,Implement the supported prism engine,C-GEOMETRY,T01;T02,NOT_STARTED,,,,,
T06,Connect real source intake and basic inspectors,C-INTAKE,T02;T04,NOT_STARTED,,,,,
T07,"Persist candidates, evidence bindings and field requests",C-LIFECYCLE,T02;T03,NOT_STARTED,,,,,
T08,"Implement exact review, identity and lookup",C-LIFECYCLE,T04;T05;T06;T07,NOT_STARTED,,,,,
T09,Build the linked web workflow,C-WEB,T01;T02;T03,NOT_STARTED,,,,,
T10,Build the online native evidence and Team flow,C-MOBILE,T01;T03;T06;T07,NOT_STARTED,,,,,
T11,Integrate the one complete manual case,O-LEAD,T04;T05;T06;T07;T08;T09;T10,NOT_STARTED,,,,,
T12,Run independent adversarial and cross-client checks,C-VERIFY,T11,NOT_STARTED,,,,,
T13,Prove reproducible startup and classify release,O-LEAD,T12,NOT_STARTED,,,,,
T14,Prepare human continuation and stop,O-LEAD,T13,NOT_STARTED,,,,,
